academic_year,class_name,grade,class_letter,students_count,avg_grade_5,attendance_pct,homework_completion_pct,tests_avg_pct,behavior_score_100,olympiad_participation_pct,club_participation_pct,parent_engagement_pct,exam_grade_flag,rating_score_100,rating_place,rating_group,risk_probability,risk_score_100,risk_level,risk_reason
2025/2026,1А,1,А,25,3.86,96.0,88.9,76.6,83.3,20.5,71.5,68.3,0,79.1,11,B: сильный класс,0.235,23.5,низкий,критических факторов нет
2025/2026,1Б,1,Б,25,3.69,95.2,75.9,75.3,83.9,20.3,61.7,75.5,0,75.3,24,C: стабильный класс,0.314,31.4,средний,умеренный риск по совокупности факторов
2025/2026,1В,1,В,31,3.88,94.8,83.4,77.1,94.0,16.0,59.2,72.7,0,79.1,12,B: сильный класс,0.219,21.9,низкий,критических факторов нет
2025/2026,1Г,1,Г,23,3.99,98.1,90.8,88.6,99.0,15.9,63.2,73.7,0,85.5,1,A: лидер,0.114,11.4,низкий,критических факторов нет
2025/2026,1Д,1,Д,26,3.67,89.8,82.1,65.7,83.1,15.1,57.4,79.6,0,72.7,34,C: стабильный класс,0.381,38.1,средний,посещаемость < 90%; средний результат контрольных < 70%
2025/2026,1Е,1,Е,27,3.22,86.9,70.0,58.0,85.1,3.1,38.1,70.9,0,64.9,61,D: зона роста,0.59,59.0,высокий,посещаемость < 90%; выполнение ДЗ < 70%; средний результат контрольных < 70%
2025/2026,2А,2,А,29,4.07,96.2,86.6,83.5,95.2,22.1,73.2,79.7,0,83.5,4,A: лидер,0.149,14.9,низкий,критических факторов нет
2025/2026,2Б,2,Б,25,3.22,91.3,73.8,70.9,87.8,10.9,67.0,69.2,0,71.3,41,C: стабильный класс,0.43,43.0,средний,средняя оценка < 3.5
2025/2026,2В,2,В,25,3.93,95.6,85.1,73.3,87.3,17.8,69.1,75.3,0,78.3,13,B: сильный класс,0.242,24.2,низкий,критических факторов нет
2025/2026,2Г,2,Г,26,4.11,95.4,84.3,92.1,95.9,15.4,45.0,78.7,0,84.1,3,A: лидер,0.128,12.8,низкий,критических факторов нет
2025/2026,2Д,2,Д,30,3.34,91.5,73.5,76.6,77.4,5.2,40.5,75.0,0,70.8,42,C: стабильный класс,0.417,41.7,средний,средняя оценка < 3.5
2025/2026,2Е,2,Е,28,3.34,92.6,83.3,76.4,86.4,13.7,54.1,69.7,0,74.9,27,C: стабильный класс,0.32,32.0,средний,средняя оценка < 3.5
2025/2026,3А,3,А,27,4.26,99.5,89.8,78.2,92.7,19.0,64.5,75.2,0,83.3,5,A: лидер,0.143,14.3,низкий,критических факторов нет
2025/2026,3Б,3,Б,23,4.17,93.7,79.5,75.0,82.3,13.3,45.4,75.4,0,76.6,18,B: сильный класс,0.271,27.1,низкий,критических факторов нет
2025/2026,3В,3,В,29,3.5,97.6,82.7,71.8,89.1,15.1,47.2,71.0,0,75.5,21,C: стабильный класс,0.285,28.5,низкий,средняя оценка < 3.5
2025/2026,3Г,3,Г,25,3.61,93.9,76.6,80.3,73.5,11.3,32.7,72.4,0,73.3,33,C: стабильный класс,0.349,34.9,средний,поведенческий индекс < 75
2025/2026,3Д,3,Д,26,3.59,91.8,72.8,69.0,84.1,15.6,49.5,77.2,0,71.6,40,C: стабильный класс,0.406,40.6,средний,средний результат контрольных < 70%
2025/2026,3Е,3,Е,25,3.3,85.9,73.8,71.8,79.8,15.4,48.5,63.9,0,69.1,45,D: зона роста,0.51,51.0,средний,посещаемость < 90%; средняя оценка < 3.5
2025/2026,4А,4,А,24,4.16,96.2,78.3,81.6,86.3,20.6,56.5,90.2,0,80.1,9,B: сильный класс,0.193,19.3,низкий,критических факторов нет
2025/2026,4Б,4,Б,28,3.77,98.0,81.7,72.1,87.1,14.7,47.1,71.8,0,76.3,19,B: сильный класс,0.268,26.8,низкий,критических факторов нет
2025/2026,4В,4,В,26,3.13,95.0,83.0,73.6,83.6,10.6,57.1,74.2,0,73.5,31,C: стабильный класс,0.346,34.6,средний,средняя оценка < 3.5
2025/2026,4Г,4,Г,28,3.49,92.4,78.8,73.6,85.0,18.5,45.8,65.6,0,73.4,32,C: стабильный класс,0.364,36.4,средний,средняя оценка < 3.5
2025/2026,4Д,4,Д,27,3.43,93.1,73.4,75.3,91.1,15.8,49.4,73.1,0,73.8,30,C: стабильный класс,0.342,34.2,средний,средняя оценка < 3.5
2025/2026,4Е,4,Е,29,3.3,86.9,77.0,74.1,75.3,0.8,39.2,67.4,0,69.0,47,D: зона роста,0.483,48.3,средний,посещаемость < 90%; средняя оценка < 3.5
2025/2026,5А,5,А,28,4.41,96.1,86.7,93.2,88.5,18.3,52.0,74.7,0,85.3,2,A: лидер,0.12,12.0,низкий,критических факторов нет
2025/2026,5Б,5,Б,31,4.12,95.8,90.0,82.5,84.8,15.8,58.4,62.8,0,81.3,7,B: сильный класс,0.187,18.7,низкий,критических факторов нет
2025/2026,5В,5,В,29,3.47,88.9,79.8,71.4,74.4,18.0,43.4,67.0,0,70.7,43,C: стабильный класс,0.452,45.2,средний,посещаемость < 90%; поведенческий индекс < 75; средняя оценка < 3.5
2025/2026,5Г,5,Г,27,3.44,93.8,70.9,67.7,73.6,10.4,47.5,57.8,0,68.2,49,D: зона роста,0.518,51.8,средний,средний результат контрольных < 70%; поведенческий индекс < 75; средняя оценка < 3.5
2025/2026,5Д,5,Д,30,3.49,85.2,83.9,63.6,76.6,8.5,34.2,54.1,0,68.1,50,D: зона роста,0.527,52.7,средний,посещаемость < 90%; средний результат контрольных < 70%; средняя оценка < 3.5
